Date,Open,High,Low,Close
02/14/2023,"85.83","86.42","84.13","85.58"
02/13/2023,"86.51","86.95","85.10","86.61"
02/10/2023,"84.22","86.90","83.93","86.39"
02/09/2023,"84.96","85.50","83.05","84.50"
02/08/2023,"84.11","85.15","83.51","85.09"
02/07/2023,"81.26","84.13","81.19","83.69"
02/06/2023,"79.61","81.43","79.10","80.99"
02/03/2023,"82.27","84.20","79.62","79.94"
02/02/2023,"83.34","83.61","81.25","82.17"
02/01/2023,"85.56","86.21","82.37","82.84"
01/31/2023,"85.18","85.25","83.73","84.49"
01/30/2023,"86.88","87.48","84.66","84.90"
01/27/2023,"87.65","88.95","85.69","86.66"
01/26/2023,"86.35","88.01","85.74","87.47"
01/25/2023,"86.28","87.00","85.41","86.12"
01/24/2023,"88.07","88.71","85.80","86.13"
01/23/2023,"87.77","89.09","86.92","88.19"
01/20/2023,"86.42","87.79","85.58","87.63"
01/19/2023,"84.34","86.85","83.76","86.16"
01/18/2023,"86.45","87.85","84.36","84.98"
01/17/2023,"84.20","86.82","84.04","85.92"
01/16/2023,"85.50","85.59","83.83","84.46"
