Date,Open,High,Low,Close
02/14/2023,"2.427","2.623","2.415","2.567"
02/13/2023,"2.580","2.610","2.376","2.405"
02/10/2023,"2.464","2.589","2.410","2.514"
02/09/2023,"2.411","2.529","2.350","2.430"
02/08/2023,"2.599","2.657","2.367","2.396"
02/07/2023,"2.499","2.615","2.423","2.584"
02/06/2023,"2.422","2.500","2.365","2.457"
02/03/2023,"2.457","2.515","2.341","2.410"
02/02/2023,"2.504","2.597","2.431","2.456"
02/01/2023,"2.730","2.780","2.463","2.468"
01/31/2023,"2.685","2.753","2.614","2.684"
01/30/2023,"2.720","2.773","2.612","2.677"
01/27/2023,"2.853","2.908","2.747","2.849"
01/26/2023,"2.873","2.891","2.680","2.848"
01/25/2023,"3.065","3.078","2.860","2.915"
01/24/2023,"3.228","3.300","3.031","3.057"
01/23/2023,"3.216","3.243","2.992","3.222"
01/20/2023,"3.076","3.191","2.985","3.036"
01/19/2023,"3.100","3.198","3.056","3.124"
01/18/2023,"3.294","3.332","3.087","3.111"
01/17/2023,"3.331","3.440","3.237","3.253"
